customer_id,name,gender,join_date,city,loyalty_tier,age
C00001,Betty Hernandez,Female,2021-06-07,Phoenix,Gold,34
C00002,Patricia Garcia,Female,2023-11-13,Houston,Silver,35
C00003,Daniel Davis,Male,2022-06-02,Houston,Bronze,21
C00004,Lisa Wilson,Female,2022-03-03,Houston,Bronze,35
C00005,Karen Jones,Female,2019-11-02,Houston,Platinum,37
C00006,Sandra Lopez,Female,2021-09-23,Houston,Bronze,59
C00007,Mark Martin,Male,2020-10-18,New York,Platinum,51
C00008,Jennifer Wilson,Female,2023-05-20,Chicago,Gold,63
C00009,James Garcia,Male,2023-06-17,Phoenix,Gold,30
C00010,Patricia Taylor,Female,2021-02-14,Los Angeles,Bronze,63
C00011,Michael Smith,Male,2022-12-13,Los Angeles,Silver,33
C00012,Steven White,Male,2022-10-17,Chicago,Bronze,53
C00013,Robert Wilson,Male,2021-03-14,Chicago,Gold,19
C00014,Richard Davis,Male,2023-11-13,Houston,Gold,59
C00015,Dorothy Smith,Female,2021-04-16,Los Angeles,Silver,61
C00016,George Smith,Male,2020-02-16,New York,Silver,32
C00017,Sarah Hernandez,Female,2021-08-07,Chicago,Gold,42
C00018,Paul Lopez,Male,2020-11-08,Chicago,Silver,43
C00019,Matthew Thompson,Male,2023-05-09,Phoenix,Platinum,59
C00020,Emily Williams,Female,2021-07-16,Phoenix,Silver,39
C00021,Lisa Miller,Female,2021-05-10,Chicago,Bronze,27
C00022,Deborah Thomas,Female,2019-06-26,Phoenix,Gold,60
C00023,Lisa Martinez,Female,2019-03-21,Chicago,Silver,44
C00024,Kenneth Miller,Male,2019-04-20,Houston,Silver,39
C00025,Betty Jackson,Female,2023-01-18,Los Angeles,Platinum,37
C00026,Linda Martin,Female,2023-10-01,Los Angeles,Bronze,26
C00027,Susan Anderson,Female,2023-10-03,Chicago,Gold,59
C00028,Charles Hernandez,Male,2020-11-24,New York,Gold,39
C00029,Michael Martin,Male,2021-07-02,Chicago,Silver,21
C00030,Jessica Jackson,Female,2019-08-10,Phoenix,Silver,25
C00031,Barbara Jones,Female,2022-07-07,Houston,Bronze,30
C00032,Donald Jones,Male,2023-11-05,Chicago,Gold,38
C00033,Susan Anderson,Female,2023-02-23,Los Angeles,Bronze,58
C00034,David White,Male,2021-04-29,New York,Bronze,28
C00035,Sandra Hernandez,Female,2019-10-01,Houston,Bronze,43
C00036,Amanda Miller,Female,2022-04-05,Houston,Bronze,64
C00037,Dorothy Miller,Female,2021-09-28,Chicago,Gold,19
C00038,Betty Wilson,Female,2021-02-12,New York,Bronze,26
C00039,John Wilson,Male,2021-08-09,New York,Bronze,36
C00040,Barbara Anderson,Female,2023-06-17,Houston,Bronze,49
C00041,Margaret Smith,Female,2020-05-27,Chicago,Platinum,32
C00042,Mary White,Female,2020-02-12,Los Angeles,Bronze,50
C00043,Thomas Thompson,Male,2019-04-27,Los Angeles,Bronze,57
C00044,Mary Johnson,Female,2019-05-30,New York,Silver,62
C00045,Thomas Martin,Male,2022-03-27,New York,Bronze,62
C00046,Michael Jackson,Male,2019-01-29,Los Angeles,Bronze,35
C00047,Linda Jackson,Female,2020-03-02,Phoenix,Silver,64
C00048,Steven Miller,Male,2019-12-21,Phoenix,Gold,56
C00049,Betty Hernandez,Female,2023-06-14,Los Angeles,Platinum,36
C00050,Steven Anderson,Male,2023-03-23,Los Angeles,Platinum,33
C00051,Kenneth Martin,Male,2019-10-04,New York,Platinum,27
C00052,Linda Martinez,Female,2019-08-22,New York,Gold,59
C00053,John Brown,Male,2021-07-08,Los Angeles,Bronze,29
C00054,Nancy Hernandez,Female,2022-01-24,New York,Gold,65
C00055,William Garcia,Male,2019-05-23,New York,Bronze,39
C00056,Jennifer Taylor,Female,2021-04-13,Chicago,Gold,39
C00057,Thomas Thomas,Male,2022-05-28,Los Angeles,Platinum,62
