driver_id,name,gender,join_date,vehicle_type,rating,city
D0001,Andrew Williams,Male,2020-05-04,Economy,4.3,New York
D0002,Joseph Jackson,Male,2018-04-03,Economy,4.5,Phoenix
D0003,Donald White,Male,2019-09-10,Economy,4.2,Phoenix
D0004,Susan Hernandez,Female,2018-01-21,SUV,3.7,Chicago
D0005,Michael Taylor,Male,2019-10-31,Economy,4.6,Chicago
D0006,Amanda Brown,Female,2018-05-15,SUV,4.2,Chicago
D0007,Kenneth Miller,Male,2020-06-29,XL,4.6,Houston
D0008,Robert Davis,Male,2019-12-10,SUV,3.8,New York
D0009,Richard Martinez,Male,2021-11-09,Economy,4.0,New York
D0010,Karen Garcia,Female,2019-06-16,Premium,4.0,New York
D0011,John Davis,Male,2022-09-27,SUV,4.4,Houston
D0012,Jessica White,Female,2021-05-31,Economy,4.6,New York
D0013,Thomas Jones,Male,2022-04-01,Premium,3.6,Chicago
D0014,Melissa Hernandez,Female,2022-08-02,Economy,4.8,Los Angeles
D0015,John Brown,Male,2019-11-13,Premium,4.5,Phoenix
D0016,Margaret Thomas,Female,2021-08-04,Premium,4.3,Los Angeles
D0017,Joseph Thompson,Other,2022-07-02,Bike,4.3,Phoenix
D0018,Sandra Garcia,Female,2020-11-22,Economy,4.8,Chicago
D0019,Michael Wilson,Male,2020-03-29,Premium,5.0,Houston
D0020,Susan Thompson,Female,2019-04-20,Economy,4.2,Phoenix
D0021,Lisa Davis,Female,2020-10-04,Economy,4.1,Phoenix
D0022,Robert Martin,Male,2022-10-29,Bike,4.3,New York
D0023,Emily Garcia,Other,2022-07-14,Premium,4.3,New York
D0024,Amanda Miller,Female,2021-08-07,Bike,4.1,Chicago
D0025,Joseph Williams,Male,2021-03-06,Economy,3.9,Chicago
D0026,Joseph Smith,Male,2022-09-17,Economy,4.5,Chicago
D0027,Jennifer Jackson,Female,2018-07-02,XL,4.4,New York
D0028,William White,Male,2022-02-17,Economy,5.0,Los Angeles
D0029,Mark Taylor,Male,2022-01-09,Economy,4.4,Phoenix
D0030,Michael Johnson,Male,2018-06-18,SUV,4.1,Houston
D0031,Sandra Garcia,Female,2018-12-06,Economy,4.3,Houston
D0032,Andrew Brown,Male,2018-08-23,Economy,4.6,Chicago
D0033,Karen Garcia,Female,2022-08-07,Bike,4.8,New York
D0034,John Garcia,Male,2019-10-27,XL,3.4,Houston
D0035,Mark Thompson,Male,2021-04-27,Premium,4.2,Houston
D0036,John White,Male,2020-07-10,Economy,5.0,Houston
D0037,Paul Garcia,Male,2020-09-01,Premium,4.8,Phoenix
D0038,Jennifer Lopez,Female,2018-09-06,XL,4.5,New York
D0039,Melissa Lopez,Female,2020-01-01,Premium,3.5,New York
D0040,Melissa Jackson,Female,2021-07-26,SUV,4.8,New York
D0041,Barbara Wilson,Female,2019-09-27,Economy,4.1,Chicago
D0042,George White,Male,2018-08-14,Economy,4.0,Houston
D0043,Robert Davis,Male,2019-10-25,Economy,4.1,New York
D0044,Charles Lopez,Male,2021-09-23,XL,4.3,Chicago
D0045,William Martinez,Male,2022-09-20,Bike,4.1,Phoenix
D0046,Lisa Lopez,Female,2022-09-15,Economy,4.9,New York
D0047,Sarah Johnson,Female,2019-09-25,Premium,4.0,Los Angeles
D0048,Nancy Jones,Female,2020-05-09,Economy,3.6,New York
D0049,Robert Jones,Male,2021-10-04,Economy,3.9,Chicago
D0050,William Hernandez,Male,2021-02-21,Premium,4.2,Phoenix
D0051,Matthew Miller,Male,2021-02-06,XL,4.9,Los Angeles
D0052,Sandra Lopez,Female,2021-01-03,SUV,3.9,Los Angeles
D0053,Sandra Smith,Female,2020-01-06,XL,5.0,Los Angeles
D0054,Sandra Davis,Female,2020-10-29,SUV,3.5,Los Angeles
D0055,Richard Moore,Male,2018-12-02,Premium,4.2,Chicago
D0056,Richard Thomas,Male,2019-12-09,Economy,4.4,Chicago
D0057,Anthony Thompson,Male,2018-08-04,Premium,4.6,Chicago
D0058,Sarah Garcia,Female,2018-12-25,XL,4.2,Chicago
D0059,Nancy Hernandez,Female,2020-04-04,Economy,4.8,Phoenix
D0060,Dorothy Miller,Other,2018-12-26,Economy,4.4,Phoenix
D0061,Richard Taylor,Male,2021-09-16,Premium,5.0,Chicago
D0062,Michael Wilson,Male,2020-10-22,Premium,4.3,Houston
D0063,Richard Hernandez,Male,2021-06-22,Premium,4.0,Phoenix
D0064,Lisa Thomas,Female,2019-06-25,Premium,4.8,Houston
D0065,Nancy Moore,Female,2020-08-02,Premium,4.2,Phoenix
D0066,David Williams,Male,2019-10-26,Premium,4.7,Houston
D0067,Charles Davis,Male,2020-11-07,Economy,5.0,Chicago
D0068,Steven Lopez,Male,2018-05-24,Economy,4.8,Los Angeles
D0069,Joseph Jones,Male,2022-11-24,Premium,4.5,New York
D0070,Karen Garcia,Female,2018-11-28,SUV,4.9,New York
D0071,Donald Jackson,Male,2022-09-28,Premium,4.3,Phoenix
D0072,Dorothy Hernandez,Female,2021-10-07,Premium,5.0,Phoenix
D0073,Joseph Martinez,Male,2019-05-10,Economy,4.3,Phoenix
D0074,Robert Wilson,Male,2020-01-14,Economy,3.8,Phoenix
D0075,Anthony Jones,Male,2020-09-20,Economy,4.4,Los Angeles
D0076,Donald Hernandez,Male,2021-06-20,Economy,4.2,Los Angeles
D0077,James White,Male,2021-07-29,Bike,3.8,New York
D0078,Anthony Hernandez,Male,2020-12-28,Economy,4.7,Houston
D0079,Sarah Hernandez,Female,2022-08-24,Premium,4.6,Phoenix
D0080,Anthony Garcia,Male,2020-11-10,SUV,3.5,Houston
D0081,Mary Williams,Female,2022-07-18,Premium,4.7,Houston
D0082,Thomas Thomas,Male,2021-12-05,Economy,4.4,Houston
D0083,Mark Martinez,Male,2020-10-12,Economy,3.9,Chicago
D0084,Matthew Davis,Male,2022-08-03,Economy,5.0,New York
D0085,Mary Lopez,Female,2018-05-06,Economy,4.3,New York
